NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Carrier,Shipment Origin,Shipment Origin detailed,Shipment Destination,Vessel,Quantity,Weight (kg),Weight (t),Value of Goods (USD),HS Code,Goods Shipped
Monopile Sections,Ocean Wind 1,11,2023-10-06,JUMB - Jumbo Shipping V O F,Germany,"Rostock, Germany","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",FAIRPARTNER,3,4598320,4598.32,44668000,Classified: 9503.00,MONOPILE - G7 TOP SECTION MONOPILE - G7 MIDDLE SECTION MONOPILE - G7 BOTTOM SECTION MONOPILE - F8 TOP SECTION MONOPILE - F8 MIDDLE SECTION MONOPILE - F8 BOTTOM SECTION MONOPILE - G4 TOP SECTION MONOPILE - G4 MIDDLE SECTION MONOPILE - G4 BOTTOM SECTION
Monopiles,Revolution Wind 1,11,2023-08-11,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,2023-09-07,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,2023-09-11,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,2023-10-13,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,2023-10-23,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,2023-11-27,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
Monopiles,Revolution Wind 1,11,2023-12-01,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,2024-01-04,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TARGET,4,,,,,
Monopiles,Revolution Wind 1,11,2024-01-10,,Germany,"Bremerhaven, Gerrmany","Argentia, Canada",TRIUMPH,4,,,,,
