NREL category (Component category),NREL category (Associated Project),NREL category (turbine rating in MW),Arrival Date,Shipment Origin,Shipment Destination,Quantity of Blades,Quantity,Measurement,Weight (Original Format),Value of Goods (USD),HS Code,Goods Shipped
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-05-05,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,24 PCS, CM,229800 K,621000,Classified: 7325.99,BLADE STACKING FRAME ROOT WITH INTERFACE ROOT BLADE STACKING FRAME ROOT TIP CLAMP INSTALLED ON FRAMES BLADE STACKING FRAME TIP WITH INTERFACE TIP BLADE STACKING FRAME TIP TIP CLAMP INSTALLED ON FRAMES
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-05-20,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,24 PCS,1929 CM,229800 K,8419000,Classified: 8422.40,SAID TO BE: - 6 BLADE STACKING FRAME ROOT WITH INTERFACE ROOT - 6 TIP CLAMP INSTALLED ON FRAMES - 6 BLADE STACKING FRAME TIP WITH INTERFACE TIP - 6 TIP CLAMP INSTALLED ON FRAMES
Blades,Vineyard Wind 1,13,2024-05-20,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3122000,Classified: 8502.31,LM 107. 0. P2 W/ 30MM STIFF PLT GE WIND BLADES
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-06-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,321645 CM,229800 K,1620000,Classified: 8708.29,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADE OF 12 SECTIONS (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS)
Blades,Vineyard Wind 1,13,2024-06-01,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,3122000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADES
Blades,Vineyard Wind 1,13,2024-06-16,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,1628000,Classified: 8502.31,LM 107. 0 P2 W/30MM STIFF PLT GE WIND BLADE
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-06-16,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS, CM,229800 K,1643000,Classified: 8708.29,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADEOF 12 SECTIONS (6 LOW/UPPER PARTS? BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS)
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-07-02,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,321645 CM,229800 K,829000,Parsed: 7326.90.86.88,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADE OF 12 SECTION (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS) HS: 7326908688
Blades,Vineyard Wind 1,13,2024-07-02,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",6,6 PCS, CM,353736 K,2065000,Parsed: 8412.90.90.81,LM 107. 0 P2 W/20MM STIFF PLT GE WIND BLADE HTS 8412909081
Equipment for tranportation of blades,Vineyard Wind 1,13,2024-07-17,Canada,"Port of New Bedford Business Alliance, New Bedford, Massachusetts",-,12 PCS,321645 CM,229800 K,1523000,Classified: 8708.29,BLADE STACKING FRAME ROOT WITH 6 INTERFACE ROOT MADE OF 12 SECTIONS (6 LOW/UPPER PARTS) BLADE STACKING FRAME TIP WITH 6 INTERFACE TIP MADE OF 12 SECTIONS (6 LOW/UPPER PARTS)
